Annotation_Label,CL_Label,CL_ID
B cell,B cell,CL:0000236
CD4 T cell,"CD4-positive, alpha-beta T cell",CL:0000624
CD8 T cell,"CD8-positive, alpha-beta T cell",CL:0000625
Dendritic cell,dendritic cell,CL:0000451
Granulocyte cell,granulocyte,CL:0000094
M1 macrophage cell,inflammatory macrophage,CL:0000863
M2 macrophage cell,alternatively activated macrophage,CL:0000890
Natural killer cell,natural killer cell,CL:0000623
Endothelial cell,endothelial cell,CL:0000115
Epithelial cell,epithelial cell,CL:0000066
Plasma cell,plasma cell,CL:0000786
Regulatory T cell,regulatory T cell,CL:0000815
Stroma cell,stromal cell,CL:0000499
Smooth muscle,smooth muscle cell,CL:0000192
Proliferating/tumor cell,neoplastic cell,CL:0001063
Others,cell,CL:0000000
